Listing_ID,Sale_Price,Date_Sold,Days_on_Market
L01179,925580.004192771,2023-07-07,65.00556000517325
L00866,105416.00143823159,2023-06-14,38.0046203487711
L00102,1825184.0041347002,2023-09-09,22.992622086598924
L00440,1932085.0084187884,2023-10-29,72.01227413695455
L00059,776585.9911571154,2023-05-01,116.00015158626985
L01121,1252918.0116312888,2024-01-07,59.99534080476858
L00324,1537235.0003294677,2023-11-26,6.013271210133903
L00975,308983.01509645575,2023-12-24,40.99539750605583
L00412,184809.0036776458,2024-05-25,106.99055291246842
L00856,1220847.001260433,2024-06-30,62.00691235444723
L00821,1895335.002943501,2024-02-11,53.0062651612863
L00045,480962.9983021546,2023-11-17,90.99244520255954
L00050,655224.9932450264,2023-07-11,45.003059894220684
L00850,1605735.9951829622,2024-03-06,71.98817674120919
L00241,899304.0028009254,2023-08-31,92.0204187220879
L00171,814051.9966429004,2024-05-21,9.994826627590738
L00524,1029698.0002085194,2023-11-12,17.01744480454183
L00766,1341278.9804039611,2023-10-15,73.00425048345903
L00839,1686756.0088722701,2023-10-11,85.98873292583167
L00424,1521562.9906130726,2024-06-06,49.9985017469216
L00381,357252.01579798607,2023-11-11,113.007285171667
L00610,1635927.0045758677,2023-08-20,59.9962215224785
L00677,654602.0016088365,2024-03-27,82.99588750994981
L00345,1548930.0040768508,2023-07-10,88.00059277872327
L00110,1644740.005961285,2024-07-04,114.00179829605021
L00278,1063146.9981931509,2023-10-07,39.01261392988701
L00678,979898.0093709418,2024-06-27,46.99455612034521
L00571,1174724.9982576475,2023-12-03,38.99564178445553
L00359,1384520.995086192,2023-12-20,39.00289205178314
L00599,1782209.0045510258,2023-04-26,107.00266125856707
L00391,414127.00044853054,2023-02-03,16.996165602093775
L00894,1222137.9831587544,2023-12-10,36.98454209208516
L00693,1516083.002591926,2023-10-14,88.01784512592954
L00728,1346678.005164858,2024-03-19,78.98743752621664
L00363,1460652.9995358272,2023-11-06,55.008656409924754
L00597,1194547.0112947556,2023-09-06,63.99478474025451
L00428,1678296.9982422574,2024-03-27,103.01135066765043
L00071,985345.003707629,2023-04-23,91.00334397465319
L00322,1643866.0059238935,2024-05-10,99.98938698167207
L00653,1067719.9979976686,2024-03-11,35.0075687078639
L01066,429431.0051444249,2023-06-05,97.996651530072
L00108,975994.0004156749,2023-07-16,91.00651521226436
L01109,1587449.9845154823,2024-06-26,79.9877084507082
L00356,1226126.0047928272,2023-09-16,103.01170597764283
L00951,853221.9966461832,2023-05-05,28.989957990547683
L00343,151293.00055999312,2023-11-23,71.00674088979835
L00355,1668996.017817194,2023-09-27,48.00908545201705
L00024,1309510.9956668497,2023-10-16,91.01766580489753
L00044,902583.9839053745,2024-05-17,92.9935850062274
L00244,1806308.0102650921,2023-08-21,28.00940562106904
L00738,800839.9984437629,2024-02-01,44.987524031387075
L01136,1659988.0004001372,2023-06-24,75.0021925007517
L00368,1705012.0029722324,2023-09-27,5.999988712401115
L00164,1345214.9868631242,2023-04-15,91.00540555693728
L01116,193622.00521368138,2024-04-18,5.982761585122799
L00333,1199060.000346722,2023-10-03,111.02310263659763
L00989,1827054.9936204008,2023-05-06,12.990688519430575
L01173,593293.0011511784,2023-03-21,6.003915541184283
L01002,1715468.9947005187,2023-07-03,56.999803269036335
L00378,192964.99905257765,2023-02-13,17.000111535392318
L00310,806272.9996450209,2024-05-16,71.98392186218871
L00156,444558.9953366547,2023-08-16,17.99042485696308
L00211,1864353.0012288857,2023-08-12,91.98988465755612
